26953.67  	7619.84   	19333.83  	34573.51  	8846      	91        
26660.70  	7542.65   	19118.05  	34203.34  	8971      	92        
26374.02  	7466.99   	18907.03  	33841.01  	9094      	93        
26093.45  	7392.82   	18700.63  	33486.27  	9206      	94        
25818.78  	7320.10   	18498.68  	33138.88  	9353      	95        
27872.55  	7526.45   	20346.10  	35399.00  	9425      	96        
27585.20  	7454.34   	20130.86  	35039.54  	9509      	97        
27303.72  	7383.59   	19920.13  	34687.31  	9594      	98        
29280.25  	7568.93   	21711.32  	36849.19  	9665      	99        
28987.45  	7498.91   	21488.54  	36486.36  	9749      	100       
30908.17  	7666.70   	23241.48  	38574.87  	9790      	101       
30605.15  	7597.52   	23007.63  	38202.67  	9874      	102       
30308.01  	7529.56   	22778.45  	37837.58  	9959      	103       
30016.59  	7462.80   	22553.79  	37479.39  	10043     	104       
29730.72  	7397.20   	22333.52  	37127.92  	10128     	105       
29450.24  	7332.73   	22117.51  	36782.97  	10213     	106       
29175.00  	7269.37   	21905.64  	36444.37  	10298     	107       
28904.86  	7207.07   	21697.79  	36111.94  	10401     	108       
28639.68  	7145.83   	21493.85  	35785.51  	10567     	109       
30406.42  	7296.00   	23110.41  	37702.42  	10672     	110       
32141.32  	7433.68   	24707.63  	39575.00  	10755     	111       
33845.24  	7560.07   	26285.17  	41405.31  	10827     	112       
35519.00  	7676.21   	27842.79  	43195.21  	10882     	113       
37163.40  	7783.02   	29380.38  	44946.41  	10935     	114       
36840.24  	7722.04   	29118.19  	44562.28  	11019     	115       
36522.65  	7662.00   	28860.65  	44184.65  	11103     	116       
36210.49  	7602.87   	28607.62  	43813.36  	11188     	117       
35903.62  	7544.63   	28358.99  	43448.25  	11272     	118       
35601.91  	7487.26   	28114.65  	43089.17  	11357     	119       
35305.23  	7430.74   	27874.48  	42735.97  	11442     	120       
35013.45  	7375.06   	27638.39  	42388.51  	11603     	121       
36554.16  	7473.81   	29080.35  	44027.97  	11684     	122       
36256.97  	7418.95   	28838.02  	43675.93  	11772     	123       
37762.81  	7510.39   	30252.42  	45273.19  	11854     	124       
39244.55  	7595.07   	31649.48  	46839.61  	11968     	125       
38933.08  	7541.17   	31391.91  	46474.25  	12087     	126       
38626.52  	7488.02   	31138.50  	46114.54  	12168     	127       
38324.75  	7435.60   	30889.15  	45760.35  	12249     	128       
38027.66  	7383.89   	30643.77  	45411.55  	12330     	129       
37735.14  	7332.88   	30402.26  	45068.03  	12411     	130       
37447.09  	7282.56   	30164.52  	44729.65  	12492     	131       
37163.40  	7232.92   	29930.48  	44396.31  	12573     	132       
36883.97  	7183.93   	29700.04  	44067.90  	12687     	133       
36608.72  	7135.59   	29473.13  	43744.31  	12768     	134       
36337.54  	7087.88   	29249.66  	43425.43  	12849     	135       
36070.36  	7040.80   	29029.55  	43111.16  	12929     	136       
35807.07  	6994.33   	28812.74  	42801.40  	13010     	137       
37163.40  	7073.93   	30089.47  	44237.33  	13056     	138       
36896.03  	7028.09   	29867.94  	43924.13  	13136     	139       
38225.21  	7102.47   	31122.74  	45327.67  	13210     	140       
37954.11  	7057.27   	30896.84  	45011.37  	13291     	141       
37686.82  	7012.63   	30674.20  	44699.45  	13372     	142       
37423.28  	6968.54   	30454.74  	44391.82  	13453     	143       
37163.40  	6924.99   	30238.41  	44088.39  	13534     	144       
38444.89  	6994.80   	31450.09  	45439.69  	13583     	145       
38181.57  	6951.84   	31229.73  	45133.42  	13663     	146       
37921.83  	6909.40   	31012.43  	44831.24  	13777     	147       
37665.60  	6867.47   	30798.14  	44533.07  	13858     	148       
